county_code,县区,County Name,城市,City Name,C2008,C2009,C2010,C2011,C2012,C2013,C2014,C2015,C2016,C2017
440523,南澳县,Nan'ao County,汕头市,Shantou City,0.226112,0.241746,0.256251,0.267903,0.272364,0.26374,0.309115,0.305043,0.323657,0.390277
440604,禅城区,Chancheng District,佛山市,Foshan City,3.118538,3.334162,3.534213,3.694922,3.756453,3.637511,3.638601,3.443239,3.517045,3.360748
440605,南海区,Nanhai District,佛山市,Foshan City,16.028725,17.136993,18.165413,19.007791,19.324324,18.71245,19.254539,18.396072,18.896265,18.089016
440606,顺德区,Shunde District,佛山市,Foshan City,13.113126,14.019801,14.874127,15.569063,15.828331,15.327152,15.46439,14.841588,15.256394,14.61811
440607,三水区,Sanshui District,佛山市,Foshan City,5.888962,6.29614,6.696118,7.225912,7.356096,7.124369,7.577598,7.641377,7.928857,7.663263
440608,高明区,Gaoming District,佛山市,Foshan City,3.09366,3.307564,3.51413,3.731867,3.797297,3.678652,3.880189,3.790858,3.939562,3.880351
440703,蓬江区,Pengjiang District,江门市,Jiangmen City,3.498004,3.739865,3.998631,4.189341,4.259105,4.124446,4.483423,4.442052,4.567268,4.493394
440704,江海区,Jianghai District,江门市,Jiangmen City,1.324297,1.415862,1.505256,1.64295,1.67031,1.617422,1.656279,1.65227,1.720238,1.691494
440705,新会区,Xinhui District,江门市,Jiangmen City,5.630987,6.022332,6.433881,7.044013,7.16973,6.955432,7.638684,7.791929,8.285925,8.222362
440781,台山市,Taishan City,江门市,Jiangmen City,4.663323,5.016727,5.408106,5.80221,5.917511,5.733521,5.827957,5.555932,5.750565,5.599914
440783,开平市,Kaiping City,江门市,Jiangmen City,3.531741,3.779397,4.03648,4.303609,4.377739,4.243497,4.44525,4.290672,4.494344,4.430721
440784,鹤山市,Heshan City,江门市,Jiangmen City,3.333915,3.56771,3.815181,4.035302,4.104964,3.985123,4.29813,4.216444,4.460138,4.453301
440785,恩平市,Enping City,江门市,Jiangmen City,2.527614,2.705112,2.888855,3.063422,3.114847,3.026555,3.365749,3.250384,3.391529,3.374609
440802,赤坎区,Chikan District,湛江市,Zhanjiang City,0.934948,0.999593,1.059569,1.10775,1.126197,1.090538,1.048923,1.001507,1.025532,0.978326
440803,霞山区,Xiashan District,湛江市,Zhanjiang City,1.767489,1.889698,2.011191,2.102645,2.13766,2.069974,1.95271,1.887028,1.945613,1.869726
440804,坡头区,Potou District,湛江市,Zhanjiang City,1.00106,1.070276,1.13488,1.237159,1.304763,1.264046,1.3885,1.375014,1.452458,1.437447
440811,麻章区,Mazhang District,湛江市,Zhanjiang City,1.598459,1.70971,1.84319,2.228218,2.377185,2.302312,2.534644,2.567237,2.826408,2.867467
440823,遂溪县,Suixi County,湛江市,Zhanjiang City,3.299666,3.534918,3.769608,4.007846,4.093881,3.969621,3.968485,3.890817,4.051834,3.930758
440825,徐闻县,Xuwen County,湛江市,Zhanjiang City,1.029005,1.1007,1.187404,1.291466,1.32734,1.286505,1.279223,1.213153,1.245418,1.199704
440881,廉江市,Lianjiang City,湛江市,Zhanjiang City,2.767698,2.959246,3.201685,3.536845,3.652802,3.599152,3.778813,3.653185,3.841031,3.809382
440882,雷州市,Leizhou City,湛江市,Zhanjiang City,1.654519,1.778936,1.915991,2.028755,2.067465,2.00717,1.981862,1.876283,1.91923,1.847187
440883,吴川市,Wuchuan City,湛江市,Zhanjiang City,1.796286,1.920486,2.048075,2.262943,2.349681,2.28045,2.504256,2.56833,2.703655,2.884381
440902,茂南区,Maonan District,茂名市,Maoming City,3.059922,3.271493,3.48555,3.65838,3.780877,3.72019,3.968075,4.15362,4.465759,4.435994
440923,电白区,Dianbai District,茂名市,Maoming City,3.935914,4.208236,4.460925,4.733223,4.934783,4.862204,4.992116,4.857799,5.468163,5.518097
440981,高州市,Gaozhou City,茂名市,Maoming City,2.238286,2.393594,2.538176,2.681453,2.771466,2.817669,2.869904,2.713481,2.813436,2.783352
440982,化州市,Huazhou City,茂名市,Maoming City,1.899374,2.033434,2.16722,2.444035,2.51819,2.466678,2.516196,2.43132,2.531402,2.476477
440983,信宜市,Xinyi City,茂名市,Maoming City,0.978739,1.046776,1.109969,1.174574,1.195366,1.177789,1.185484,1.144738,1.177614,1.158461
441202,端州区,Duanzhou District,肇庆市,Zhaoqing City,1.740397,1.860732,1.972377,2.064085,2.099484,2.033007,2.053272,1.968293,2.021739,1.944833
441203,鼎湖区,Dinghu District,肇庆市,Zhaoqing City,1.309813,1.407846,1.551408,1.83777,1.8772,1.818159,1.94497,1.991334,2.11866,2.212672
441223,广宁县,Guangning County,肇庆市,Zhaoqing City,1.040251,1.113087,1.191266,1.311251,1.340066,1.300814,1.316632,1.233338,1.265323,1.217397
441224,怀集县,Huaiji County,肇庆市,Zhaoqing City,1.196331,1.279049,1.371434,1.507485,1.541004,1.504334,1.497127,1.404507,1.442605,1.394123
441225,封开县,Fengkai County,肇庆市,Zhaoqing City,0.977887,1.075559,1.142797,1.246042,1.268434,1.230656,1.226629,1.150509,1.182252,1.147349
441226,德庆县,Deqing County,肇庆市,Zhaoqing City,1.38666,1.48436,1.575353,1.691807,1.722648,1.688773,1.753978,1.626035,1.707688,1.683163
441283,高要区,Gaoyao District,肇庆市,Zhaoqing City,4.108693,4.392961,4.668127,4.979322,5.100213,5.000732,5.101414,4.835365,5.017216,4.878365
441284,四会市,Sihui City,肇庆市,Zhaoqing City,3.369186,3.603234,3.823484,4.054683,4.125078,3.995458,4.195351,4.128646,4.32873,4.258263
441302,惠城区,Huicheng District,惠州市,Huizhou City,7.955832,8.506284,9.041382,9.944916,10.116479,9.79874,10.493439,10.470207,10.877587,10.77589
441303,惠阳区,Huiyang District,惠州市,Huizhou City,7.294025,7.798899,8.279582,8.939523,9.130877,8.854283,9.451256,9.871463,10.613235,11.089379
441322,博罗县,Boluo County,惠州市,Huizhou City,7.953788,8.515757,9.065134,9.796126,10.005029,9.698173,10.022676,9.806215,10.174801,10.25102
441323,惠东县,Huidong County,惠州市,Huizhou City,4.02077,4.304971,4.580264,5.085312,5.280626,5.164701,5.295239,5.149146,5.374913,5.265901
441324,龙门县,Longmen County,惠州市,Huizhou City,1.428748,1.533182,1.644098,1.884608,1.927691,1.89428,2.002484,1.909037,1.987336,2.045443
441402,梅江区,Meijiang District,梅州市,Meizhou City,1.390239,1.486363,1.575546,1.671012,1.700892,1.647036,1.771134,1.768883,1.857114,1.860494
441421,梅县区,Meixian District,梅州市,Meizhou City,2.694599,2.88674,3.067091,3.345255,3.407941,3.310369,3.44574,3.344895,3.527367,3.430868
441422,大埔县,Dapu County,梅州市,Meizhou City,1.579034,1.688395,1.803603,1.957489,2.006506,1.963842,1.958431,1.894643,1.959118,1.959296
441423,丰顺县,Fengshun County,梅州市,Meizhou City,1.38666,1.482538,1.571877,1.679895,1.709512,1.658762,1.683876,1.608887,1.72865,1.751116
441424,五华县,Wuhua County,梅州市,Meizhou City,1.569152,1.680197,1.802252,2.024515,2.0962,2.091638,2.214903,2.104773,2.247326,2.251539
441426,平远县,Pingyuan County,梅州市,Meizhou City,0.836972,0.895389,0.961278,1.085946,1.198034,1.190111,1.202507,1.101705,1.197448,1.166957
441427,蕉岭县,Jiaoling County,梅州市,Meizhou City,0.920805,0.984654,1.045279,1.094829,1.113266,1.078016,1.090675,1.087245,1.129339,1.120312
441481,兴宁市,Xingning City,梅州市,Meizhou City,2.087999,2.233462,2.370947,2.510455,2.557187,2.487746,2.639602,2.510931,2.640484,2.634543
441502,城区,Cheng District,汕尾市,Shanwei City,1.374051,1.469057,1.564153,1.718859,1.768213,1.712226,1.581109,1.479713,1.510014,1.475023
441521,海丰县,Haifeng County,汕尾市,Shanwei City,3.066909,3.279873,3.478405,3.726618,3.814948,3.708067,3.958061,3.882022,4.181906,4.430009
441523,陆河县,Luhe County,汕尾市,Shanwei City,0.687537,0.735075,0.77918,0.828743,0.847059,0.825605,0.915317,0.934598,1.005396,1.266952
441581,陆丰市,Lufeng City,汕尾市,Shanwei City,2.819498,3.016995,3.201299,3.416925,3.479983,3.372776,3.651706,3.765144,4.078927,4.385663
441602,源城区,Yuancheng District,河源市,Heyuan City,2.303547,2.470471,2.633956,2.806824,2.857876,2.767982,2.992229,3.09409,3.244836,3.308055
441621,紫金县,Zijin County,河源市,Heyuan City,1.647362,1.767277,1.882583,2.186226,2.244389,2.286611,2.423212,2.314612,2.430832,2.381095
441622,龙川县,Longchuan County,河源市,Heyuan City,1.073307,1.147701,1.218301,1.314078,1.340887,1.317311,1.353484,1.300097,1.338421,1.29397
441623,连平县,Lianping County,河源市,Heyuan City,0.937504,1.00269,1.062851,1.116835,1.139333,1.131083,1.17665,1.120478,1.174255,1.167021
441624,和平县,Heping County,河源市,Heyuan City,0.918249,0.982833,1.045086,1.111989,1.138512,1.122735,1.148047,1.099857,1.132527,1.112195
441625,东源县,Dongyuan County,河源市,Heyuan City,1.775328,1.899718,2.028957,2.24235,2.30309,2.250638,2.275779,2.166482,2.219876,2.140517
441702,江城区,Jiangcheng District,阳江市,Yangjiang City,2.07539,2.222531,2.384464,2.835694,2.912267,2.874711,3.148731,3.267396,3.491328,3.468937
441721,阳西县,Yangxi County,阳江市,Yangjiang City,1.396032,1.492557,1.610498,1.771754,1.823836,1.770459,2.060707,2.030853,2.140531,2.115656
441723,阳东区,Yangdong District,阳江市,Yangjiang City,2.245443,2.404524,2.589156,3.019612,3.151791,3.059349,3.250236,3.145327,3.263573,3.221389
441781,阳春市,Yangchun City,阳江市,Yangjiang City,2.466443,2.659933,2.85313,3.329912,3.437497,3.37059,3.444371,3.238597,3.327651,3.205173
441802,清城区,Qingcheng District,清远市,Qingyuan City,5.598271,5.990633,6.387536,6.917026,7.043708,6.821276,7.149807,7.060426,7.404048,7.271255
441821,佛冈县,Fogang County,清远市,Qingyuan City,1.657586,1.811545,1.939742,2.226401,2.268403,2.201547,2.277018,2.237944,2.322808,2.284213
441823,阳山县,Yangshan County,清远市,Qingyuan City,1.110453,1.187233,1.267157,1.389583,1.413544,1.371172,1.370586,1.29044,1.317293,1.263183
441826,连南瑶族自治县,Liannan Yao Autonomous County,清远市,Qingyuan City,0.405706,0.433758,0.459784,0.481701,0.498137,0.485545,0.477696,0.456011,0.466802,0.45241
441827,清新区,Qingxin District,清远市,Qingyuan City,2.723396,2.922993,3.22621,3.721773,3.844504,3.733308,3.88762,3.697805,3.922992,3.86192
441881,英德市,Yingde City,清远市,Qingyuan City,3.917001,4.192569,4.473477,5.174748,5.40829,5.277391,5.366905,5.182623,5.345351,5.131574
441882,连州市,Lianzhou City,清远市,Qingyuan City,1.255287,1.342081,1.426855,1.51233,1.558244,1.527587,1.553884,1.466809,1.503139,1.453275
441900,东莞市,Dongguan City,东莞市,Dongguan City,41.066654,43.908295,46.556716,48.700411,49.515718,47.947882,47.727866,45.050951,46.075021,44.02828
442000,中山市,Zhongshan City,中山市,Zhongshan City,21.921947,23.442606,24.977974,26.318697,26.756977,25.90976,26.433719,25.574044,26.328842,25.421823
445102,湘桥区,Xiangqiao District,潮州市,Chaozhou City,1.43846,1.537919,1.630967,1.712197,1.747894,1.692549,1.739925,1.709045,1.7765,1.817442
445121,潮安区,Chao'an District,潮州市,Chaozhou City,4.694505,5.037313,5.431665,5.771524,5.908685,5.722192,6.048256,6.100796,6.438518,6.601094
445122,饶平县,Raoping County,潮州市,Chaozhou City,2.342396,2.504538,2.656935,2.8256,2.90221,2.839929,3.067787,2.953085,3.071931,3.209645
445202,榕城区,Rongcheng District,揭阳市,Jieyang City,2.199096,2.351147,2.519251,2.667725,2.713176,2.627268,2.731459,2.700807,2.848013,2.93486
445221,揭东区,Jiedong District,揭阳市,Jieyang City,3.041179,3.257284,3.52533,4.031668,4.260132,4.133589,4.69741,4.691135,4.945388,5.003873
445222,揭西县,Jiexi County,揭阳市,Jieyang City,1.549045,1.65615,1.757451,1.907623,1.950063,1.904019,2.461521,2.284142,2.410176,2.600931
445224,惠来县,Huilai County,揭阳市,Jieyang City,1.72455,1.844519,1.966005,2.162202,2.209497,2.154244,2.308289,2.200335,2.413165,2.921875
445281,普宁市,Puning City,揭阳市,Jieyang City,3.922283,4.19603,4.663685,5.207252,5.355336,5.190339,5.931633,6.038923,6.41033,7.015219
445302,云城区,Yuncheng District,云浮市,Yunfu City,2.000417,2.13946,2.286173,2.553053,2.616915,2.580959,2.826285,2.761999,2.945109,2.845142
445321,新兴县,Xinxing County,云浮市,Yunfu City,1.350026,1.447014,1.590415,1.78851,1.834098,1.783179,1.942528,1.854468,1.977425,2.019312
445322,郁南县,Yunan County,云浮市,Yunfu City,1.081657,1.162092,1.251129,1.332651,1.362848,1.325261,1.346613,1.284409,1.321284,1.29082
445323,云安区,Yunan District,云浮市,Yunfu City,1.032583,1.109262,1.178521,1.266432,1.291832,1.257686,1.38214,1.320501,1.367155,1.361739
445381,罗定市,Luoding City,云浮市,Yunfu City,1.547682,1.654875,1.754748,1.882589,1.939185,1.903422,1.975611,1.895264,1.975617,1.921892
